"ID"|Alert Timestamp"|"Sent Date"|"Agency"|"Subject"|"Message"
"1"|"12/31/2014 9:49:57 PM"|"Subway"|"UPDATED: MANH, 4, 5 & 6 Trains, NYPD Activity"|"Following an earlier incident at 110 St, 4, 5 and 6 train service has resumed with residual delays."
"2"|"12/31/2014 8:24:59 PM"|"Subway"|"UPDATED: BKLYN, D Trains, Signal Problems"|"Following an earlier incident at 18 Av, D train service has resumed with residual delays."
"3"|"12/31/2014 6:33:17 PM"|"Subway"|"UPDATED: BKLYN, 2 and 5 Trains, Sick Customer"|"Following an earlier incident at Flatbush Av, 2 and 5 train service has resumed with residual delays."
"4"|"12/31/2014 4:34:46 PM"|"Subway"|"UPDATED: BKLYN, 4 and 5 Trains, Signal Problems"|"Following an earlier incident at Nevins St, 4 and 5 train service has resumed with residual delays."
"5"|"12/31/2014 3:51:06 PM"|"Subway"|"UPDATED: MANH, 1 Trains, Mechanical problems"|"Following an earlier incident at Dyckman St, 1 train service has resumed with residual delays."
"6"|"12/31/2014 1:45:28 PM"|"Subway"|"UPDATED: Bx, 4 Trains, Track maintenance"|"Following an earlier incident at Mosholu Pkwy, 4 train service has resumed with residual delays."
"7"|"12/31/2014 6:57:39 AM"|"Subway"|"UPDATED: MANH, J Trains, NYPD activity"|"Following an earlier incident at Canal St, J train service has resumed with residual delays."
"8"|"12/31/2014 3:51:23 AM"|"Subway"|"UPDATED: MANH, Q Trains, Track Maintenance"|"Following an earlier incident at Canal St, Q train service has resumed with residual delays."
"9"|"12/30/2014 7:16:31 PM"|"Subway"|"UPDATED: MANH, B and D Trains, Mechanical Problems"|"Following an earlier incident at 14 St, B and D train service has resumed with residual delays."
"10"|"12/30/2014 6:12:54 PM"|"Subway"|"UPDATED: QNS, 7 Trains, Mechanical Problems"|"Following an earlier incident at Main St, 7 train service has resumed with residual delays."
"11"|"12/30/2014 4:04:40 PM"|"Subway"|"UPDATED: MANH, 2, 3, 4, 5 and 6 Trains, Rail Condition"|"b/d, 2, 3, 4, 5 and 6 train service delays and reroutes due to rail condition at Bowling Green. See mta.info"
"12"|"12/30/2014 2:30:33 PM"|"Subway"|"UPDATED: QNS, N & Q Trains, Rail Condition"|"Following an earlier incident at 39 Av, N and Q train service has resumed with residual delays."
"13"|"12/30/2014 1:39:51 PM"|"Subway"|"UPDATED: BKLYN, D Train, Track Maintenance"|"Following an earlier incident at Coney Island-Stillwell Av, D train service has resumed with residual delays."
"14"|"12/30/2014 12:56:26 PM"|"Subway"|"UPDATED: BKLYN, 4 & 5 Trains, Mechanical problem"|"Following an earlier incident at Atlantic Ave, 4 & 5 train service has resumed with residual delays."
"15"|"12/30/2014 5:50:22 AM"|"Subway"|"UPDATED: BKLYN, F Trains, Track Maintenance"|"Following an earlier incident at Jay St, F train service has resumed with residual delays."
"16"|"12/30/2014 1:52:42 AM"|"Subway"|"UPDATED: QNS, E Trains, Sick Customer"|"Following an earlier incident at 46 St, E train service has resumed with residual delays."
"17"|"12/30/2014 12:26:17 AM"|"Subway"|"UPDATED: QNS, E and F Trains, Signal Problems"|"Following an earlier incident at Van Wyck Blvd, E and F train service has resumed with residual delays."
"18"|"12/29/2014 10:45:06 PM"|"Subway"|"UPDATED: BKLYN, M Trains, Signal Problems"|"Following an earlier incident at Knickerbocker Av, M train service has resumed with residual delays."
"19"|"12/29/2014 9:58:23 PM"|"Subway"|"UPDATED: MANH, C and E Trains, Signal Problems"|"Following an earlier incident at 23 St, C and E train service has resumed with residual delays."
"20"|"12/29/2014 7:16:11 PM"|"Subway"|"UPDATED: BX, 6 Trains, Sick Customer"|"Following an earlier incident at Pelham Bay Pk, 6 train service has resumed with residual delays."
"21"|"12/29/2014 6:17:00 PM"|"Subway"|"UPDATED: QNS, A Trains, NYPD Activity"|"Following an earlier incident at Lefferts Blvd, A train service has resumed with residual delays."
"22"|"12/29/2014 4:50:43 PM"|"Subway"|"4 Line  Weeknight Planned Service Change CANCELLATION"|"The following planned service change is CANCELLED for one night only: 11:45 PM Mon to 5 AM Tue, Dec 29  30 No 4 service between Brooklyn Bridge and New Lots Av  take the 2, 3, N, or Q instead."
"23"|"12/29/2014 4:48:37 PM"|"Subway"|"2 Line  Weeknight Planned Service Change CANCELLATION"|"The following planned service change is CANCELLED for one night only: 11:45 PM Mon to 5 AM Tue, Dec 29 - 30 Flatbush Av-bound 2 service runs express from 14 St to Chambers St."
"24"|"12/29/2014 4:46:30 PM"|"Subway"|"2 Line  UPDATED Weeknight Planned Service Change"|"The following planned service change is ADDED: 11:45 PM Mon to 5 AM Tue, Dec 29 - 30 Flatbush Av-bound 2 service skips Park Place, Fulton St, Wall St, Clark St, and Hoyt St. After Chambers St, Flatbush Av-bound 2 service is rerouted (non-stop) to the Wall St 4 station, then runs via the 4 to Nevins St and resumes regular service. To Park Place, take the 2 to nearby Chambers St instead. To Fulton St, take the 2 to the Wall St 4 station and transfer to an uptown 4. To Wall St, take the 2 to the nearby Wall St 4 station (on Broadway). To Clark St and Hoyt St, take the 2 to nearby Borough Hall. Note: 241 St-bound trains are not affected."
"25"|"12/29/2014 3:58:03 PM"|"Subway"|"UPDATED: MANH, F and M Trains, Mechanical Problems"|"Following an earlier incident at 14 St, F and M train service has resumed with residual delays."
"26"|"12/31/2014 9:01:52 PM"|"Subway"|"UPDATED: BX, 2 & 5 Trains, NYPD Activity"|"Following an earlier incident at E 180 St, 2 and 5 train service has resumed with residual delays."
"27"|"12/31/2014 6:36:06 PM"|"Subway"|"UPDATED: MANH, C & E Trains, Sick Customer"|"Following an earlier incident at 59 St-Columbus Circle, C and E train service has resumed with residual delays."
"28"|"12/31/2014 5:08:48 PM"|"Subway"|"UPDATED: BX, 6 Trains, NYPD Activity"|"Following an earlier incident at 3 Av-138 St, 6 train service has resumed with residual delays."
"29"|"12/31/2014 3:59:29 PM"|"Subway"|"UPDATED: QNS, N and Q Trains, Track Maintenance"|"Following an earlier incident at Astoria-Ditmars Blvd, N and Q train service has resumed with residual delays."
"30"|"12/31/2014 3:27:32 PM"|"Subway"|"UPDATED: BKLYN, A and C Trains, Mechanical Problems"|"Following an earlier incident at Jay St-MetroTech, A and C train service has resumed with residual delays."
"31"|"12/31/2014 12:20:23 PM"|"Subway"|"UPDATED: BKLYN, B and Q Trains, Sick Customer"|"Following an earlier incident at Atlantic Av, B & Q train service has resumed with residual delays."
